Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount
50000,C003,Premium Gift Box Set,13,2010-01-01,29.99,100251,United Kingdom,389.87
50001,C003,Premium Gift Box Set,8,2010-01-01,29.99,100693,Spain,239.92
50002,B002,Decorative Wall Clock,10,2010-01-01,24.99,100433,United Kingdom,249.89999999999998
50003,C003,Premium Gift Box Set,11,2010-01-01,29.99,100239,United Kingdom,329.89
50004,I009,Silver Earrings,4,2010-01-01,19.99,100734,Germany,79.96
50005,G007,Silk Scarf,4,2010-01-01,22.99,100460,France,91.96
50006,C003,Premium Gift Box Set,10,2010-01-01,29.99,100715,United Kingdom,299.9
50007,A001,Ceramic Coffee Mug Set,4,2010-01-01,15.99,100782,United Kingdom,63.96
50008,C003,Premium Gift Box Set,17,2010-01-01,29.99,100100,United Kingdom,509.83
50009,J010,Wool Blanket,5,2010-01-01,27.99,100045,Spain,139.95
50010,B002,Decorative Wall Clock,7,2010-01-01,24.99,100081,France,174.92999999999998
50011,J010,Wool Blanket,6,2010-01-01,27.99,100592,United Kingdom,167.94
50012,C003,Premium Gift Box Set,12,2010-01-01,29.99,100792,United Kingdom,359.88
50013,D004,Leather Journal,2,2010-01-01,12.99,100390,United Kingdom,25.98
50014,F006,Wooden Photo Frame,3,2010-01-01,9.99,100380,United Kingdom,29.97
50015,C003,Premium Gift Box Set,13,2010-01-01,29.99,100719,Germany,389.87
50016,J010,Wool Blanket,3,2010-01-01,27.99,100547,Spain,83.97
50017,C003,Premium Gift Box Set,19,2010-01-01,29.99,100389,United Kingdom,569.81
50018,I009,Silver Earrings,4,2010-01-01,19.99,100702,United Kingdom,79.96
50019,C003,Premium Gift Box Set,12,2010-01-01,29.99,100033,United Kingdom,359.88
50020,B002,Decorative Wall Clock,4,2010-01-01,24.99,100581,USA,99.96
50021,H008,Chocolate Gift Box,7,2010-01-01,14.99,100659,United Kingdom,104.93
50022,C003,Premium Gift Box Set,9,2010-01-01,29.99,100253,Spain,269.90999999999997
50023,E005,Scented Candle Set,10,2010-01-01,18.99,100439,France,189.89999999999998
50024,D004,Leather Journal,3,2010-01-01,12.99,100522,United Kingdom,38.97
50025,C003,Premium Gift Box Set,6,2010-01-01,29.99,100113,United Kingdom,179.94
50026,G007,Silk Scarf,10,2010-01-01,22.99,100066,United Kingdom,229.89999999999998
50027,H008,Chocolate Gift Box,9,2010-01-01,14.99,100258,France,134.91
50028,C003,Premium Gift Box Set,8,2010-01-01,29.99,100699,United Kingdom,239.92
50029,F006,Wooden Photo Frame,2,2010-01-01,9.99,100301,United Kingdom,19.98
50030,C003,Premium Gift Box Set,5,2010-01-01,29.99,100740,USA,149.95
50031,I009,Silver Earrings,3,2010-01-01,19.99,100520,United Kingdom,59.97
50032,E005,Scented Candle Set,9,2010-01-01,18.99,100624,United Kingdom,170.91
50033,C003,Premium Gift Box Set,10,2010-01-01,29.99,100553,Italy,299.9
50034,C003,Premium Gift Box Set,24,2010-01-01,29.99,100332,United Kingdom,719.76
50035,C003,Premium Gift Box Set,16,2010-01-01,29.99,100315,United Kingdom,479.84
50036,C003,Premium Gift Box Set,23,2010-01-01,29.99,100081,United Kingdom,689.77
50037,B002,Decorative Wall Clock,9,2010-01-01,24.99,100785,United Kingdom,224.91
50038,C003,Premium Gift Box Set,20,2010-01-01,29.99,100563,United Kingdom,599.8
50039,J010,Wool Blanket,7,2010-01-01,27.99,100217,United Kingdom,195.92999999999998
50040,D004,Leather Journal,5,2010-01-01,12.99,100409,Germany,64.95
50041,H008,Chocolate Gift Box,9,2010-01-01,14.99,100463,United Kingdom,134.91
50042,C003,Premium Gift Box Set,7,2010-01-01,29.99,100347,United Kingdom,209.92999999999998
50043,D004,Leather Journal,10,2010-01-01,12.99,100226,United Kingdom,129.9
50044,C003,Premium Gift Box Set,25,2010-01-01,29.99,100061,United Kingdom,749.75
50045,C003,Premium Gift Box Set,6,2010-01-01,29.99,100339,United Kingdom,179.94
50046,E005,Scented Candle Set,8,2010-01-01,18.99,100220,United Kingdom,151.92
50047,C003,Premium Gift Box Set,23,2010-01-01,29.99,100591,United Kingdom,689.77
50048,C003,Premium Gift Box Set,20,2010-01-01,29.99,100417,United Kingdom,599.8
50049,C003,Premium Gift Box Set,18,2010-01-01,29.99,100363,United Kingdom,539.8199999999999
50050,C003,Premium Gift Box Set,25,2010-01-01,29.99,100662,United Kingdom,749.75
50051,C003,Premium Gift Box Set,15,2010-01-01,29.99,100112,United Kingdom,449.84999999999997
50052,C003,Premium Gift Box Set,22,2010-01-01,29.99,100460,United Kingdom,659.78
50053,E005,Scented Candle Set,8,2010-01-01,18.99,100256,United Kingdom,151.92
50054,I009,Silver Earrings,2,2010-01-01,19.99,100052,Germany,39.98
50055,C003,Premium Gift Box Set,7,2010-01-01,29.99,100772,United Kingdom,209.92999999999998
50056,C003,Premium Gift Box Set,20,2010-01-01,29.99,100493,United Kingdom,599.8
50057,C003,Premium Gift Box Set,10,2010-01-01,29.99,100389,United Kingdom,299.9
50058,E005,Scented Candle Set,8,2010-01-01,18.99,100293,United Kingdom,151.92
50059,I009,Silver Earrings,8,2010-01-01,19.99,100159,United Kingdom,159.92
50060,C003,Premium Gift Box Set,23,2010-01-01,29.99,100754,United Kingdom,689.77
50061,C003,Premium Gift Box Set,15,2010-01-01,29.99,100059,United Kingdom,449.84999999999997
50062,I009,Silver Earrings,9,2010-01-01,19.99,100162,United Kingdom,179.91
50063,B002,Decorative Wall Clock,3,2010-01-01,24.99,100071,France,74.97
50064,C003,Premium Gift Box Set,12,2010-01-01,29.99,100414,United Kingdom,359.88
50065,J010,Wool Blanket,4,2010-01-01,27.99,100593,France,111.96
50066,C003,Premium Gift Box Set,7,2010-01-01,29.99,100430,Germany,209.92999999999998
50067,I009,Silver Earrings,6,2010-01-01,19.99,100268,United Kingdom,119.94
50068,F006,Wooden Photo Frame,4,2010-01-01,9.99,100272,United Kingdom,39.96
50069,C003,Premium Gift Box Set,25,2010-01-01,29.99,100308,United Kingdom,749.75
50070,B002,Decorative Wall Clock,1,2010-01-02,24.99,100470,France,24.99
50071,C003,Premium Gift Box Set,22,2010-01-02,29.99,100417,France,659.78
50072,F006,Wooden Photo Frame,7,2010-01-02,9.99,100686,Spain,69.93
50073,G007,Silk Scarf,6,2010-01-02,22.99,100286,United Kingdom,137.94
50074,C003,Premium Gift Box Set,13,2010-01-02,29.99,100183,France,389.87
50075,B002,Decorative Wall Clock,10,2010-01-02,24.99,100445,United Kingdom,249.89999999999998
50076,J010,Wool Blanket,9,2010-01-02,27.99,100119,United Kingdom,251.91
50077,F006,Wooden Photo Frame,10,2010-01-02,9.99,100322,Germany,99.9
50078,E005,Scented Candle Set,5,2010-01-02,18.99,100216,United Kingdom,94.94999999999999
50079,C003,Premium Gift Box Set,5,2010-01-02,29.99,100048,United Kingdom,149.95
50080,B002,Decorative Wall Clock,7,2010-01-02,24.99,100225,United Kingdom,174.92999999999998
50081,H008,Chocolate Gift Box,1,2010-01-02,14.99,100571,United Kingdom,14.99
50082,F006,Wooden Photo Frame,8,2010-01-02,9.99,100628,USA,79.92
50083,I009,Silver Earrings,8,2010-01-02,19.99,100163,Spain,159.92
50084,G007,Silk Scarf,7,2010-01-02,22.99,100552,Spain,160.92999999999998
50085,C003,Premium Gift Box Set,15,2010-01-02,29.99,100685,Germany,449.84999999999997
50086,A001,Ceramic Coffee Mug Set,10,2010-01-03,15.99,100547,United Kingdom,159.9
50087,J010,Wool Blanket,5,2010-01-03,27.99,100331,United Kingdom,139.95
50088,G007,Silk Scarf,6,2010-01-03,22.99,100030,United Kingdom,137.94
50089,E005,Scented Candle Set,9,2010-01-03,18.99,100011,United Kingdom,170.91
50090,C003,Premium Gift Box Set,18,2010-01-03,29.99,100501,France,539.8199999999999
50091,C003,Premium Gift Box Set,8,2010-01-03,29.99,100761,United Kingdom,239.92
50092,I009,Silver Earrings,10,2010-01-03,19.99,100290,United Kingdom,199.89999999999998
50093,F006,Wooden Photo Frame,3,2010-01-03,9.99,100310,United Kingdom,29.97
50094,F006,Wooden Photo Frame,3,2010-01-03,9.99,100053,United Kingdom,29.97
50095,D004,Leather Journal,9,2010-01-03,12.99,100390,United Kingdom,116.91
50096,C003,Premium Gift Box Set,10,2010-01-04,29.99,100566,United Kingdom,299.9
50097,C003,Premium Gift Box Set,18,2010-01-04,29.99,100462,USA,539.8199999999999
50098,E005,Scented Candle Set,1,2010-01-04,18.99,100238,United Kingdom,18.99
50099,H008,Chocolate Gift Box,2,2010-01-04,14.99,100704,United Kingdom,29.98
50100,J010,Wool Blanket,4,2010-01-04,27.99,100436,United Kingdom,111.96
50101,A001,Ceramic Coffee Mug Set,5,2010-01-04,15.99,100146,United Kingdom,79.95
50102,C003,Premium Gift Box Set,14,2010-01-04,29.99,100610,Spain,419.85999999999996
50103,E005,Scented Candle Set,8,2010-01-04,18.99,100128,United Kingdom,151.92
50104,G007,Silk Scarf,5,2010-01-04,22.99,100513,United Kingdom,114.94999999999999
50105,B002,Decorative Wall Clock,10,2010-01-04,24.99,100041,United Kingdom,249.89999999999998
50106,J010,Wool Blanket,5,2010-01-04,27.99,100027,United Kingdom,139.95
50107,C003,Premium Gift Box Set,23,2010-01-04,29.99,100602,United Kingdom,689.77
50108,E005,Scented Candle Set,10,2010-01-04,18.99,100042,Italy,189.89999999999998
50109,H008,Chocolate Gift Box,9,2010-01-04,14.99,100668,United Kingdom,134.91
50110,A001,Ceramic Coffee Mug Set,10,2010-01-04,15.99,100447,Germany,159.9
50111,B002,Decorative Wall Clock,8,2010-01-04,24.99,100357,United Kingdom,199.92
50112,B002,Decorative Wall Clock,3,2010-01-04,24.99,100338,United Kingdom,74.97
50113,E005,Scented Candle Set,7,2010-01-04,18.99,100779,France,132.92999999999998
50114,C003,Premium Gift Box Set,7,2010-01-04,29.99,100323,United Kingdom,209.92999999999998
50115,G007,Silk Scarf,9,2010-01-04,22.99,100002,Germany,206.91
50116,H008,Chocolate Gift Box,7,2010-01-04,14.99,100056,United Kingdom,104.93
50117,J010,Wool Blanket,8,2010-01-04,27.99,100641,United Kingdom,223.92
50118,D004,Leather Journal,5,2010-01-04,12.99,100563,United Kingdom,64.95
50119,H008,Chocolate Gift Box,8,2010-01-04,14.99,100125,United Kingdom,119.92
